,Q2A,Q4A,Q7A,Q9A,Q15A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q36A,Q40A,Q41A,Q42A,scores
36378,4,3,3,2,3,2,3,3,3,3,4,3,3,3,3,2,2,2,3,4,4,62
36379,2,2,1,2,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,32
36380,1,1,1,1,2,1,1,2,3,3,2,1,3,2,1,1,1,1,1,1,1,31
36381,2,1,1,2,1,1,3,2,3,1,3,1,3,4,2,2,1,2,4,1,2,42
36382,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,27
36383,2,1,1,4,4,1,3,2,1,1,4,1,4,3,3,2,2,2,1,2,3,47
36384,2,1,2,4,2,4,4,4,4,1,4,2,4,4,4,4,4,4,4,2,3,67
36385,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,24
36386,4,4,2,4,2,2,2,2,2,1,3,2,3,2,3,3,4,3,4,3,3,58
36387,2,1,2,4,2,4,3,2,2,3,2,1,2,3,2,4,4,3,4,3,3,56
36388,3,3,1,3,1,1,2,2,2,1,2,2,1,2,1,1,1,3,1,1,2,36
36389,1,2,1,3,1,1,2,1,2,1,2,2,2,3,2,3,2,2,2,1,2,38
36390,3,2,2,1,2,4,2,1,1,3,1,4,1,4,4,4,2,1,2,3,4,51
36391,2,4,1,2,2,1,2,2,1,3,4,3,4,4,2,2,2,1,2,1,4,49
36392,4,2,2,4,2,2,4,4,3,2,4,2,4,4,4,4,3,4,4,2,4,68
36393,2,2,1,3,2,1,3,2,2,3,4,1,2,3,4,4,4,4,4,1,3,55
36394,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,2,2,1,1,1,3,29
36395,2,3,3,4,2,1,4,4,2,2,3,4,3,4,3,4,3,4,4,2,3,64
36396,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,2,2,3,1,3,34
36397,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,28
36398,1,2,2,2,1,1,3,3,2,1,2,2,1,1,1,3,3,3,1,1,2,38
36399,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,2,3,2,1,2,30
36400,3,4,3,4,4,4,4,4,3,2,2,4,4,4,3,4,2,4,4,4,3,73
36401,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,4,3,3,3,3,68
36402,2,1,2,4,2,1,2,3,1,1,2,2,2,3,2,2,2,2,2,1,2,41
36403,2,2,2,2,2,2,2,4,3,1,2,4,3,2,3,2,3,3,2,3,2,51
36404,4,1,2,3,1,3,1,4,1,1,3,3,4,2,3,4,4,3,3,4,3,57
36405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84
36406,1,1,4,4,1,4,1,3,2,1,3,2,1,3,2,3,3,3,4,3,4,53
36407,2,3,2,4,3,3,3,3,2,2,4,3,2,4,4,4,3,4,4,2,3,64
36408,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,27
36409,1,1,1,3,1,1,1,2,3,3,2,1,2,2,1,2,1,2,2,1,2,35
36410,2,3,3,3,3,4,2,3,1,1,2,1,3,2,2,1,4,2,4,2,4,52
36411,4,3,3,3,3,2,3,1,2,4,2,3,3,3,3,2,4,2,3,3,4,60
36412,3,3,4,4,4,2,4,4,3,4,3,3,2,3,2,3,3,2,4,3,3,66
36413,3,3,3,4,3,4,3,4,2,3,3,3,3,3,4,3,3,4,4,2,3,67
36414,2,1,2,3,2,3,3,2,4,3,3,2,3,2,3,4,3,4,3,2,2,56
36415,3,1,2,1,1,4,2,1,2,3,3,1,3,3,2,3,3,2,3,2,3,48
36416,2,3,3,3,2,2,3,2,2,2,2,3,2,3,3,2,2,3,2,2,2,50
36417,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,23
36418,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,2,2,1,1,2,29
36419,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,80
36420,3,2,3,2,2,1,3,1,1,2,4,1,2,1,1,2,2,3,4,3,4,47
36421,1,3,4,4,2,4,3,1,3,1,4,3,2,2,3,4,3,4,3,3,2,59
36422,1,2,1,3,1,1,2,3,2,1,3,1,2,4,2,2,2,1,3,1,2,40
36423,4,3,3,2,3,2,3,3,3,1,3,3,3,1,2,2,3,2,2,3,4,55
36424,3,1,1,1,1,1,1,3,1,1,3,4,2,4,1,3,2,2,3,1,3,42
36425,3,4,3,4,4,2,4,4,3,3,4,3,4,4,4,4,4,4,4,2,4,75
36426,1,1,1,3,1,1,3,4,2,1,3,3,4,3,1,3,3,2,3,1,3,47
36427,1,1,1,4,1,4,3,1,3,1,4,1,3,4,4,4,1,3,2,2,4,52
36428,1,3,3,3,1,2,1,2,3,2,3,1,3,2,1,2,3,1,3,3,3,46
36429,2,1,1,2,1,2,1,4,3,1,2,2,3,2,2,2,1,2,2,1,4,41
36430,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,24
36431,4,3,3,4,3,3,4,4,4,3,3,3,4,2,3,3,4,3,4,2,4,70
36432,2,1,2,2,1,1,2,3,1,1,4,1,3,2,2,2,1,2,2,1,4,40
36433,4,1,1,4,1,1,2,3,3,1,3,2,4,4,3,4,2,3,2,1,2,51
36434,3,2,1,2,1,2,4,4,2,2,2,3,4,3,3,3,3,3,3,1,4,55
36435,4,2,2,4,2,4,3,2,4,1,2,3,4,3,3,4,3,1,4,1,2,58
36436,2,1,2,2,1,1,2,3,4,1,2,1,3,2,2,2,2,2,2,2,2,41
36437,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,30
36438,1,4,4,4,4,4,4,4,2,1,4,4,4,2,4,3,3,4,4,4,4,72
36439,3,1,1,1,1,1,1,3,2,1,4,2,4,3,1,2,3,1,2,1,4,42
36440,2,2,3,3,3,1,2,4,3,1,4,2,4,2,2,2,2,3,4,2,3,54
36441,1,2,1,2,1,3,3,4,4,2,4,3,4,4,3,4,4,3,2,2,4,60
36442,2,2,2,4,3,4,2,3,4,1,3,4,2,3,3,3,3,2,3,2,4,59
36443,3,1,1,2,1,4,2,2,2,1,2,1,2,3,1,4,2,3,4,1,4,46
36444,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,3,1,4,32
36445,1,1,1,3,2,2,2,4,1,1,2,2,4,3,2,3,3,2,4,1,4,48
36446,1,1,2,2,1,2,2,2,2,1,3,2,3,3,2,3,3,2,2,1,2,42
36447,1,1,1,1,1,1,3,3,2,1,4,3,3,2,2,2,1,2,3,1,3,41
36448,1,1,3,4,1,1,3,1,4,1,2,1,2,2,4,2,2,2,2,4,3,46
36449,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,4,1,1,2,1,2,30
36450,1,3,3,2,2,3,3,4,2,2,4,3,4,2,3,3,2,4,3,3,4,60
36451,3,1,4,4,3,4,3,4,4,2,3,3,4,4,3,3,4,4,3,2,4,69
36452,4,2,4,3,3,3,4,2,3,1,4,3,4,3,2,4,4,3,4,4,3,67
36453,1,1,2,2,2,1,2,1,3,1,1,2,3,1,1,3,1,1,2,1,4,36
36454,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,3,1,2,2,1,1,29
36455,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,31
36456,3,1,1,2,2,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,1,30
36457,4,3,2,2,1,2,3,3,3,1,3,3,2,2,3,3,4,3,1,2,3,53
36458,2,2,1,3,2,1,1,3,2,1,2,2,3,3,2,2,3,1,3,1,3,43
36459,4,3,3,3,4,2,3,4,3,1,2,3,4,3,3,4,2,2,4,4,3,64
36460,1,1,1,4,1,1,1,3,4,1,4,1,4,4,2,2,3,1,2,2,4,47
36461,3,3,1,4,2,4,1,3,2,1,1,3,3,3,3,1,3,2,2,1,3,49
36462,3,2,1,2,1,1,2,4,3,1,2,2,3,2,2,3,3,2,3,1,4,47
36463,1,2,2,4,2,1,4,1,4,1,2,2,2,1,3,1,4,3,4,3,1,48
36464,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,23
36465,1,1,1,4,1,2,2,3,2,1,1,3,2,2,2,2,1,1,2,3,3,40
36466,3,1,2,2,2,3,2,1,3,3,2,2,2,2,2,3,3,1,2,1,3,45
36467,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,27
36468,1,1,2,3,1,4,1,2,2,1,2,1,3,2,1,2,1,1,1,2,4,38
36469,1,2,3,4,1,3,2,1,2,2,2,3,2,1,3,2,4,3,4,4,4,53
36470,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
36471,2,1,1,1,2,1,1,1,1,1,2,1,2,3,1,2,1,1,1,1,2,29
