,Q1A,Q6A,Q8A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,scores
251,3,2,2,1,4,1,2,1,2,2,2,4,1,1,3,1,1,2,1,1,37
252,2,3,2,3,3,2,3,1,3,4,4,3,3,2,2,3,2,3,1,3,52
253,1,3,2,2,4,2,4,3,2,2,1,2,1,2,2,1,3,3,1,4,45
254,1,1,1,1,2,1,2,3,1,1,1,2,1,1,2,1,1,2,1,1,27
255,4,4,4,4,4,4,2,4,4,1,4,2,3,3,4,4,4,4,4,4,71
256,4,3,3,3,4,3,3,4,2,3,4,4,2,3,4,3,3,3,3,4,65
257,3,1,2,3,3,3,4,1,2,3,4,2,2,2,2,3,1,3,1,2,47
258,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,24
259,2,2,3,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,3,37
260,3,2,2,1,2,3,2,2,1,1,2,2,3,2,2,2,4,3,2,3,44
261,3,3,2,4,4,4,3,4,1,3,3,4,2,3,4,2,3,3,2,3,60
262,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,76
263,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,31
264,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,38
265,4,3,3,2,3,2,4,3,2,2,3,1,2,3,2,3,3,2,2,2,51
266,4,3,2,2,3,2,1,4,2,4,1,4,2,2,1,2,2,3,3,1,48
267,4,3,4,2,3,4,3,3,2,3,1,3,2,3,4,2,1,3,1,4,55
268,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,4,1,3,3,1,46
269,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,25
270,2,3,3,1,3,3,3,2,1,3,3,2,3,2,3,3,1,2,3,3,49
271,3,2,3,4,3,2,3,4,3,4,4,2,1,2,2,2,4,2,4,2,56
272,4,4,4,4,4,4,4,4,3,4,4,4,2,2,4,3,4,4,4,4,74
273,1,1,1,1,1,1,2,1,1,2,2,1,2,3,1,1,2,1,1,1,27
274,3,3,2,4,4,3,2,2,2,4,4,2,3,3,4,3,4,2,4,3,61
275,4,3,4,2,4,3,4,3,1,3,4,3,2,4,4,4,3,4,2,3,64
276,3,2,2,2,3,2,3,3,1,4,2,1,1,2,4,4,2,2,3,2,48
277,3,3,3,3,3,4,3,3,1,2,2,2,4,2,3,2,3,3,2,3,54
278,2,3,3,2,2,1,2,1,1,2,1,1,1,2,2,4,1,3,2,3,39
279,2,4,2,1,3,1,2,3,1,1,2,3,3,1,3,2,2,2,2,2,42
280,1,2,1,4,2,2,3,2,1,3,4,2,1,2,3,2,3,1,4,2,45
281,3,4,2,1,4,4,2,3,1,1,3,2,4,3,3,2,2,3,1,4,52
282,2,1,4,3,2,4,4,3,4,4,4,2,1,3,2,2,3,4,2,2,56
283,2,2,1,2,2,1,2,1,1,3,2,1,1,2,1,2,1,1,1,1,30
284,1,1,1,2,1,2,1,4,1,4,1,2,4,2,1,1,2,2,2,1,36
285,1,2,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,37
286,3,4,4,4,3,2,2,2,2,3,4,4,2,4,4,4,3,2,2,3,61
287,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,23
288,2,2,2,4,3,3,4,2,4,4,4,1,2,2,4,4,4,2,4,3,60
289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
290,4,1,4,1,4,4,1,4,2,2,1,2,3,4,4,1,3,3,2,4,54
291,1,1,4,2,2,2,3,2,3,3,1,2,1,3,1,1,1,3,3,1,40
292,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,4,4,3,2,4,61
293,2,1,1,3,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,29
